Laikotarpis,Rodiklis,Šalys ir teritorijos:Kodas,Šalys ir teritorijos:Pavadinimas,Kombinuotoji nomenklatūra (2-jų ženklų lygiu),Apskritys,Matavimo vienetai,Reikšmė,
2019,Lietuviškos kilmės eksportas,CU,Kuba,,Lietuvos Respublika,tūkst. EUR,1331.7,0.01%
2019,Lietuviškos kilmės eksportas,EC,Ekvadoras,,Lietuvos Respublika,tūkst. EUR,1192.5,0.01%
2019,Lietuviškos kilmės eksportas,PS,Okupuota Palestinos Teritorija,,Lietuvos Respublika,tūkst. EUR,1116.9,0.01%
2019,Lietuviškos kilmės eksportas,MR,Mauritanija,,Lietuvos Respublika,tūkst. EUR,1100.1,0.01%
2019,Lietuviškos kilmės eksportas,MU,Mauricijus,,Lietuvos Respublika,tūkst. EUR,1005.6,0.01%
2019,Lietuviškos kilmės eksportas,GT,Gvatemala,,Lietuvos Respublika,tūkst. EUR,949.5,0.01%
2019,Lietuviškos kilmės eksportas,BF,Burkina Fasas,,Lietuvos Respublika,tūkst. EUR,913.2,0.01%
2019,Lietuviškos kilmės eksportas,UY,Urugvajus,,Lietuvos Respublika,tūkst. EUR,909.3,0.01%
2019,Lietuviškos kilmės eksportas,ML,Malis,,Lietuvos Respublika,tūkst. EUR,887.6,0.00%
2019,Lietuviškos kilmės eksportas,ME,Juodkalnija,,Lietuvos Respublika,tūkst. EUR,883.8,0.00%
2019,Lietuviškos kilmės eksportas,BH,Bahreinas,,Lietuvos Respublika,tūkst. EUR,871.9,0.00%
2019,Lietuviškos kilmės eksportas,DO,Dominikos Respublika,,Lietuvos Respublika,tūkst. EUR,869.4,0.00%
2019,Lietuviškos kilmės eksportas,YE,Jemenas,,Lietuvos Respublika,tūkst. EUR,867.6,0.00%
2019,Lietuviškos kilmės eksportas,SL,Siera Leonė,,Lietuvos Respublika,tūkst. EUR,852.5,0.00%
2019,Lietuviškos kilmės eksportas,TZ,Tanzanija,,Lietuvos Respublika,tūkst. EUR,808.8,0.00%
2019,Lietuviškos kilmės eksportas,SY,Sirija,,Lietuvos Respublika,tūkst. EUR,754.5,0.00%
2019,Lietuviškos kilmės eksportas,JM,Jamaika,,Lietuvos Respublika,tūkst. EUR,729.2,0.00%
2019,Lietuviškos kilmės eksportas,NC,Naujoji Kaledonija,,Lietuvos Respublika,tūkst. EUR,685.5,0.00%
2019,Lietuviškos kilmės eksportas,KH,Kambodža,,Lietuvos Respublika,tūkst. EUR,546.2,0.00%
2019,Lietuviškos kilmės eksportas,HN,Hondūras,,Lietuvos Respublika,tūkst. EUR,538.5,0.00%
2019,Lietuviškos kilmės eksportas,PA,Panama,,Lietuvos Respublika,tūkst. EUR,474.7,0.00%
2019,Lietuviškos kilmės eksportas,BS,Bahamos,,Lietuvos Respublika,tūkst. EUR,440.2,0.00%
2019,Lietuviškos kilmės eksportas,LK,Šri Lanka,,Lietuvos Respublika,tūkst. EUR,362.2,0.00%
2019,Lietuviškos kilmės eksportas,GN,Gvinėja,,Lietuvos Respublika,tūkst. EUR,355.3,0.00%
2019,Lietuviškos kilmės eksportas,GY,Gajana,,Lietuvos Respublika,tūkst. EUR,354.5,0.00%
2019,Lietuviškos kilmės eksportas,GM,Gambija,,Lietuvos Respublika,tūkst. EUR,321.2,0.00%
2019,Lietuviškos kilmės eksportas,MM,Mianmaras,,Lietuvos Respublika,tūkst. EUR,306.3,0.00%
2019,Lietuviškos kilmės eksportas,BW,Botsvana,,Lietuvos Respublika,tūkst. EUR,302.7,0.00%
2019,Lietuviškos kilmės eksportas,MG,Madagaskaras,,Lietuvos Respublika,tūkst. EUR,285,0.00%
2019,Lietuviškos kilmės eksportas,TG,Togas,,Lietuvos Respublika,tūkst. EUR,242,0.00%
2019,Lietuviškos kilmės eksportas,BB,Barbadosas,,Lietuvos Respublika,tūkst. EUR,241.4,0.00%
2019,Lietuviškos kilmės eksportas,SX,Sint Martenas (Nyderlandų dalis),,Lietuvos Respublika,tūkst. EUR,230.1,0.00%
2019,Lietuviškos kilmės eksportas,ZW,Zimbabvė,,Lietuvos Respublika,tūkst. EUR,228,0.00%
2019,Lietuviškos kilmės eksportas,UG,Uganda,,Lietuvos Respublika,tūkst. EUR,219.3,0.00%
2019,Lietuviškos kilmės eksportas,GW,Bisau Gvinėja,,Lietuvos Respublika,tūkst. EUR,206.8,0.00%
2019,Lietuviškos kilmės eksportas,GI,Gibraltaras,,Lietuvos Respublika,tūkst. EUR,203.4,0.00%
2019,Lietuviškos kilmės eksportas,SV,Salvadoras,,Lietuvos Respublika,tūkst. EUR,189.4,0.00%
2019,Lietuviškos kilmės eksportas,BJ,Beninas,,Lietuvos Respublika,tūkst. EUR,186.7,0.00%
2019,Lietuviškos kilmės eksportas,CD,Kongo Demokratinė Respublika,,Lietuvos Respublika,tūkst. EUR,183.9,0.00%
2019,Lietuviškos kilmės eksportas,HT,Haitis,,Lietuvos Respublika,tūkst. EUR,183.4,0.00%
2019,Lietuviškos kilmės eksportas,MV,Maldyvai,,Lietuvos Respublika,tūkst. EUR,173.4,0.00%
2019,Lietuviškos kilmės eksportas,DM,Dominika,,Lietuvos Respublika,tūkst. EUR,162.9,0.00%
2019,Lietuviškos kilmės eksportas,FJ,Fidžis,,Lietuvos Respublika,tūkst. EUR,162.4,0.00%
2019,Lietuviškos kilmės eksportas,GD,Grenada,,Lietuvos Respublika,tūkst. EUR,159.7,0.00%
2019,Lietuviškos kilmės eksportas,LI,Lichtenšteinas,,Lietuvos Respublika,tūkst. EUR,151.9,0.00%
2019,Lietuviškos kilmės eksportas,LA,Laosas,,Lietuvos Respublika,tūkst. EUR,151.7,0.00%
2019,Lietuviškos kilmės eksportas,LR,Liberija,,Lietuvos Respublika,tūkst. EUR,146.9,0.00%
2019,Lietuviškos kilmės eksportas,XL,Melilija,,Lietuvos Respublika,tūkst. EUR,138.8,0.00%
2019,Lietuviškos kilmės eksportas,GL,Grenlandija,,Lietuvos Respublika,tūkst. EUR,130.7,0.00%
2019,Lietuviškos kilmės eksportas,AW,Aruba,,Lietuvos Respublika,tūkst. EUR,127.8,0.00%
2019,Lietuviškos kilmės eksportas,VE,Venesuela,,Lietuvos Respublika,tūkst. EUR,123.4,0.00%
2019,Lietuviškos kilmės eksportas,GA,Gabonas,,Lietuvos Respublika,tūkst. EUR,121.2,0.00%
2019,Lietuviškos kilmės eksportas,RW,Ruanda,,Lietuvos Respublika,tūkst. EUR,113.4,0.00%
2019,Lietuviškos kilmės eksportas,BZ,Belizas,,Lietuvos Respublika,tūkst. EUR,111.9,0.00%
2019,Lietuviškos kilmės eksportas,PF,Prancūzijos Polinezija,,Lietuvos Respublika,tūkst. EUR,102.8,0.00%
2019,Lietuviškos kilmės eksportas,MO,Makao,,Lietuvos Respublika,tūkst. EUR,96.5,0.00%
2019,Lietuviškos kilmės eksportas,BN,Brunėjus,,Lietuvos Respublika,tūkst. EUR,93.1,0.00%
2019,Lietuviškos kilmės eksportas,LC,Sent Lusija,,Lietuvos Respublika,tūkst. EUR,89.4,0.00%
2019,Lietuviškos kilmės eksportas,BI,Burundis,,Lietuvos Respublika,tūkst. EUR,87.5,0.00%
2019,Lietuviškos kilmės eksportas,ZM,Zambija,,Lietuvos Respublika,tūkst. EUR,87.2,0.00%
2019,Lietuviškos kilmės eksportas,NI,Nikaragva,,Lietuvos Respublika,tūkst. EUR,86.8,0.00%
2019,Lietuviškos kilmės eksportas,SC,Seišeliai,,Lietuvos Respublika,tūkst. EUR,82.5,0.00%
2019,Lietuviškos kilmės eksportas,CG,Kongas,,Lietuvos Respublika,tūkst. EUR,80.6,0.00%
2019,Lietuviškos kilmės eksportas,SR,Surinamas,,Lietuvos Respublika,tūkst. EUR,74.6,0.00%
2019,Lietuviškos kilmės eksportas,VC,Sent Vinsentas ir Grenadinai,,Lietuvos Respublika,tūkst. EUR,68.7,0.00%
2019,Lietuviškos kilmės eksportas,ET,Etiopija,,Lietuvos Respublika,tūkst. EUR,67.1,0.00%
2019,Lietuviškos kilmės eksportas,BO,Bolivija,,Lietuvos Respublika,tūkst. EUR,59.4,0.00%
2019,Lietuviškos kilmės eksportas,DJ,Džibutis,,Lietuvos Respublika,tūkst. EUR,53.7,0.00%
2019,Lietuviškos kilmės eksportas,SO,Somalis,,Lietuvos Respublika,tūkst. EUR,46.1,0.00%
2019,Lietuviškos kilmės eksportas,MH,Maršalo Salos,,Lietuvos Respublika,tūkst. EUR,33.3,0.00%
2019,Lietuviškos kilmės eksportas,GQ,Pusiaujo Gvinėja,,Lietuvos Respublika,tūkst. EUR,28.6,0.00%
2019,Lietuviškos kilmės eksportas,TD,Čadas,,Lietuvos Respublika,tūkst. EUR,25.4,0.00%
2019,Lietuviškos kilmės eksportas,AD,Andora,,Lietuvos Respublika,tūkst. EUR,24,0.00%
2019,Lietuviškos kilmės eksportas,MW,Malavis,,Lietuvos Respublika,tūkst. EUR,24,0.00%
2019,Lietuviškos kilmės eksportas,XC,Seuta,,Lietuvos Respublika,tūkst. EUR,20.9,0.00%
2019,Lietuviškos kilmės eksportas,VU,Vanuatu,,Lietuvos Respublika,tūkst. EUR,15.5,0.00%
2019,Lietuviškos kilmės eksportas,SM,San Marinas,,Lietuvos Respublika,tūkst. EUR,11.2,0.00%
2019,Lietuviškos kilmės eksportas,CW,Kiurasao,,Lietuvos Respublika,tūkst. EUR,8.3,0.00%
2019,Lietuviškos kilmės eksportas,PG,Papua Naujoji Gvinėja,,Lietuvos Respublika,tūkst. EUR,8.1,0.00%
2019,Lietuviškos kilmės eksportas,CV,Žaliasis Kyšulys,,Lietuvos Respublika,tūkst. EUR,6.8,0.00%
2019,Lietuviškos kilmės eksportas,BT,Butanas,,Lietuvos Respublika,tūkst. EUR,5.2,0.00%
2019,Lietuviškos kilmės eksportas,BL,Sen Bertelemi,,Lietuvos Respublika,tūkst. EUR,5.2,0.00%
2019,Lietuviškos kilmės eksportas,KM,Komorai,,Lietuvos Respublika,tūkst. EUR,4.8,0.00%
2019,Lietuviškos kilmės eksportas,ER,Eritrėja,,Lietuvos Respublika,tūkst. EUR,3.4,0.00%
2019,Lietuviškos kilmės eksportas,SZ,Svazilandas,,Lietuvos Respublika,tūkst. EUR,1.8,0.00%
2019,Lietuviškos kilmės eksportas,GU,Guamas,,Lietuvos Respublika,tūkst. EUR,1.5,0.00%
2019,Lietuviškos kilmės eksportas,NE,Nigeris,,Lietuvos Respublika,tūkst. EUR,1.4,0.00%
2019,Lietuviškos kilmės eksportas,VI,Jungtinių Valstijų Mergelių Salos,,Lietuvos Respublika,tūkst. EUR,0.5,0.00%
2019,Lietuviškos kilmės eksportas,CF,Centrinės Afrikos Respublika,,Lietuvos Respublika,tūkst. EUR,0.1,0.00%
