aa;;aa;GB Jungtinė Karalystė;LV Latvija;PL Lenkija;SE Švedija;DE Vokietija;US Jungtinės Valstijos;GB Jungtinė Karalystė;LV Latvija;PL Lenkija;SE Švedija;DE Vokietija;US Jungtinės Valstijos
91;;Laikrodžiai ir jų dalys;641,7;28,8;401,8;27,4;446,6;571,3;0,1%;0,0%;0,0%;0,0%;0,0%;0,1%
93;;"Ginklai ir šaudmenys; jų dalys ir reikmenys";622,3;484,4;749,3;114,8;352,4;281;0,1%;0,1%;0,1%;0,0%;0,0%;0,1%
40;;Kaučiukas ir jo dirbiniai;389,8;584,2;644,3;8898,3;770,2;998,2;0,0%;0,1%;0,1%;0,8%;0,0%;0,2%
32;;"Rauginimo arba dažymo ekstraktai; taninai ir jų dariniai; dažikliai, pigmentai ir kitos dažiosios medžiagos; dažai ir lakai; glaistai ir kitos mastikos; rašalai";292,6;2114,1;181,3;29,4;143,1;316,8;0,0%;0,3%;0,0%;0,0%;0,0%;0,1%
17;;Cukrus ir konditerijos gaminiai iš cukraus;204;19988,3;16838,2;3024,9;4830,5;29,7;0,0%;2,5%;1,5%;0,3%;0,3%;0,0%
55;;Cheminiai  štapelio pluoštai;136,8;224,1;1158,8;19;119;0;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%
88;;Orlaiviai, erdvėlaiviai ir jų dalys;118,5;33,6;36,7;0,9;491,7;258;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%
59;;"Įmirkyti, aptraukti, padengti arba laminuoti tekstilės audiniai;  tekstilės dirbiniai naudojami pramonėje";106,5;669,4;274,9;32,6;1174,8;1,7;0,0%;0,1%;0,0%;0,0%;0,1%;0,0%
69;;Keramikos dirbiniai;105,3;165,3;56,6;154,6;1020,9;91,2;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%
65;;Galvos apdangalai ir jų dalys;101,6;61,2;23,4;265,1;188,7;25,7;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
08;;"Valgomieji vaisiai ir riešutai; citrusų vaisių arba melionų žievelės ir luobos";71,3;1474,2;2248,2;489;4669,8;63;0,0%;0,2%;0,2%;0,0%;0,3%;0,0%
58;;"Specialieji  audiniai; siūtiniai (taftingo) tekstilės audiniai; nėriniai; gobelenai; apsiuvai; siuvinėjimai";69;321,4;177,5;116;69,2;7,7;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
43;;"Kailiai ir dirbtiniai kailiai; jų dirbiniai";64;137,3;6450,5;;275,7;4;0,0%;0,0%;0,6%;0,0%;0,0%;0,0%
15;;"Gyvūniniai arba augaliniai riebalai  ir aliejus bei jų  skilimo produktai; paruošti maistiniai riebalai; gyvūninis arba augalinis vaškas";59,5;7017,8;1002,1;2607,6;1900,1;163,9;0,0%;0,9%;0,1%;0,2%;0,1%;0,0%
74;;Varis ir vario dirbiniai;59,4;2865,2;10497,1;387,1;8129,5;2,8;0,0%;0,4%;0,9%;0,0%;0,5%;0,0%
79;;Cinkas ir cinko dirbiniai;37,3;286;482,3;0,9;5,5;;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
82;;"Įrankiai, padargai, peiliai, šaukštai ir šakutės iš netauriųjų metalų; jų dalys iš netauriųjų metalų";36,7;392,8;120,7;109,7;792,6;225,6;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
09;;Kava, arbata, matė ir prieskoniai;32,4;287,2;536,9;0,1;971,2;6,9;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%
81;;"Kiti netaurieji metalai; kermetai; dirbiniai iš šių medžiagų";32,4;9,8;;;1429,8;;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%
36;;"Sprogmenys; pirotechnikos produktai; degtukai; piroforiniai lydiniai; tam tikros degiosios medžiagos";31,6;171,4;52,1;0;18,7;2;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
52;;Medvilnė;29,2;456,3;4,9;61;66,6;30,2;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%
60;;Megztinės arba nertinės medžiagos;21,9;963,6;2244,8;545,3;325,4;7,9;0,0%;0,1%;0,2%;0,0%;0,0%;0,0%
25;;"Druska; siera; žemės ir akmenys; tinkavimo medžiagos, kalkės ir cementas";7,3;4363,8;16525,5;2781,7;481,5;90,9;0,0%;0,5%;1,5%;0,2%;0,0%;0,0%
67;;"Paruoštos naudoti plunksnos ir pūkai bei dirbiniai iš plunksnų arba pūkų; dirbtinės gėlės; dirbiniai iš žmonių plaukų";3,9;;;10,3;0,7;114;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
57;;Kilimai ir kitos tekstilinės grindų dangos;2,5;3,5;40,4;56,9;21,6;0,3;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
66;;Skėčiai, skėčiai nuo saulės, lazdos, lazdos-sėdynės, vytiniai, botagai ir jų dalys;0,4;1,8;1,1;0,1;;42,6;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
41;;Žaliaminės odos (išskyrus kailius) ir išdirbta oda;0,2;95,9;3479;23,4;26,4;;0,0%;0,0%;0,3%;0,0%;0,0%;0,0%
92;;"Muzikos instrumentai; šių dirbinių dalys ir reikmenys";0,2;0,7;;;;9,5;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
01;;Gyvi gyvūnai;;6476,3;27619,6;;205,2;123,7;0,0%;0,8%;2,4%;0,0%;0,0%;0,0%
47;;"Medienos arba kitų pluoštinių celiuliozinių medžiagų  masė; popieriaus arba kartono atliekos ir liekanos";;94,9;1906,5;;5164,7;;0,0%;0,0%;0,2%;0,0%;0,3%;0,0%
37;;Fotografijos ir kinematografijos prekės;;12,3;422,7;;4,6;1,4;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
78;;Švinas ir švino dirbiniai;;51,5;160,4;;131,9;0,2;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
46;;"Dirbiniai iš šiaudų, esparto arba iš  kitų pynimo medžiagų; pintinės ir kiti dirbiniai iš vytelių";;29,5;30,5;11,2;448,6;0,2;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
75;;Nikelis ir nikelio dirbiniai;;20;12;;7,1;;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
80;;Alavas ir alavo dirbiniai;;;0,7;;19,6;;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
14;;"Augalinės pynimo medžiagos; augaliniai produktai, nenurodyti kitoje vietoje";;1,4;0,1;2,7;;;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
06;;"Augantys medžiai ir kiti augalai; svogūnėliai, šaknys ir kitos panašios augalų dalys; skintos gėlės ir dekoratyviniai žalumynai";0;254,6;;406,8;9,1;0,5;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
86;;"Geležinkelio arba tramvajaus lokomotyvai, riedmenys ir jų dalys; geležinkelių arba tramvajų bėgių įrenginiai ir įtaisai bei jų dalys; visų rūšių mechaninė (įskaitant elektromechaninę) eismo signalizacijos įranga";;;;0,2;;;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
97;;Meno kūriniai, kolekcionavimo objektai ir antikvariniai daiktai;;;;;33,6;105,4;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
13;;"Šelakas; lipai, dervos ir kiti augalų syvai bei ekstraktai";;6,7;;;31,6;;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
YY;;Kitos;;;;;;49;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
26;;Rūdos, šlakai ir pelenai;;92,7;;0;;;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
45;;Kamštiena ir kamštienos dirbiniai;;0,1;;;;;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
50;;Šilkas;;;;;;;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
